subjectID,wave,excluded_run,ROC1,ROC2,ROC3,ROC4,SST1,WTP1,WTP2,WTP3,WTP4
DEV075,1,FALSE,0,0,0,0,0,1.1,0,1.1,0
DEV076,1,FALSE,0,0,0,0,0,0,0,0,0
DEV077,1,FALSE,0,0,0,0,0,0,0,0,0
DEV078,1,FALSE,2.1,0,2.8,3.5,0,5.4,7.5,NA,NA
DEV078,1,TRUE,NA,NA,NA,NA,NA,NA,NA,18.3,16.1
DEV079,1,FALSE,0,0,0,0,0,0,0,0,0
DEV080,1,FALSE,2.8,0,0.7,0,1.4,2.2,2.2,0,0
DEV081,1,FALSE,0,0,0,0,0,0,0,0,0
DEV082,1,FALSE,5.7,2.1,0,0,0.5,2.2,1.1,1.1,NA
DEV083,1,FALSE,0,0,0,0,0,0,0,0,0
DEV084,1,FALSE,0,0,0,0,0,0,0,0,0
DEV085,1,FALSE,0,0,1.4,0,0,0,0,0,0
DEV086,1,FALSE,0,0,0,0,0,2.2,2.2,3.2,1.1
DEV087,1,FALSE,2.8,0.7,0.7,1.4,0,0,0,1.1,0
DEV088,1,FALSE,0,0,1.4,0,0,0,0,0,0
DEV089,1,FALSE,6.4,3.5,5.7,1.4,2.8,4.3,3.2,2.2,5.4
DEV090,1,FALSE,0,0,0,0,2.4,0,0,0,0
DEV091,1,FALSE,0,0,0,0,0,0,0,0,0
DEV093,1,FALSE,0,0,0,0,0,0,0,0,0
DEV094,1,FALSE,0,0,0,NA,0,0,0,0,0
DEV095,1,FALSE,0,1.4,0,0,0.5,0,0,0,0
DEV096,1,FALSE,2.1,0,1.4,1.4,0.5,0,0,0,1.1
DEV097,1,FALSE,0,0,0,0,0,0,0,0,0
DEV098,1,FALSE,0,0,NA,NA,2.2,0,0,0,0
DEV099,1,FALSE,0,2.8,4.3,1.4,0,0,0,0,0
DEV100,1,FALSE,5,3.5,3.5,8.5,2.4,4.3,1.1,3.2,6.5
DEV101,1,FALSE,7.1,3.5,4.3,4.3,4.2,3.2,3.2,NA,3.2
DEV101,1,TRUE,NA,NA,NA,NA,NA,NA,NA,10.8,NA
DEV102,1,FALSE,2.1,0.7,5,2.8,2.4,7.5,2.2,2.2,2.2
DEV103,1,FALSE,0,0,0,0.7,0,0,1.1,0,0
DEV104,1,FALSE,0,0,0,0,0,0,0,0,0
DEV105,1,FALSE,0,0,0,0,0.5,0,0,1.1,1.1
DEV106,1,FALSE,0,0,2.8,1.4,0,0,0,0,NA
DEV107,1,FALSE,0,0,2.8,0,0.9,0,0,0,0
DEV108,1,FALSE,0,0,0,0,0,0,0,0,0
DEV109,1,FALSE,0,0,0,0,0,0,0,0,0
DEV110,1,FALSE,0,0,0.7,0,0,2.2,0,0,0
DEV111,1,FALSE,0,0,0,0,0,3.2,0,0,0
DEV112,1,FALSE,0,0,0,0,0,0,0,0,0
DEV113,1,FALSE,0.7,0,0,0,0,6.5,2.2,0,0
DEV114,1,FALSE,0,0,0,0,0,0,0,0,0
DEV115,1,FALSE,0,0,0,0,0.5,0,0,0,0
DEV116,1,FALSE,0.7,3.5,2.1,4.3,0,0,4.3,1.1,0
DEV117,1,FALSE,1.4,4.3,5,5.7,0,2.2,0,0,3.2
DEV118,1,FALSE,0,0.7,5,4.3,1.4,1.1,0,NA,3.2
DEV119,1,FALSE,0.7,0,0,0.7,0,0,0,0,0
DEV120,1,FALSE,0,0,0,0,0,0,0,0,0
DEV121,1,FALSE,0,0.7,0,0,0,0,0,0,2.2
DEV122,1,FALSE,0,0,0.7,0.7,0,0,0,2.2,0
DEV123,1,FALSE,1.4,2.1,4.3,NA,3.3,NA,1.1,0,2.2
DEV123,1,TRUE,NA,NA,NA,12.1,NA,10.8,NA,NA,NA
DEV124,1,FALSE,0,0,0,0,0,0,0,0,0
DEV125,1,FALSE,0,0,0,0,0,0,0,0,0
DEV126,1,FALSE,0.7,0,0,0,0,1.1,6.5,0,3.2
DEV127,1,FALSE,2.1,1.4,1.4,0,0.5,0,0,0,0
DEV128,1,FALSE,0,0,0.7,0.7,0,0,1.1,0,2.2
DEV129,1,FALSE,0.7,1.4,0,0,0,0,0,0,1.1
DEV130,1,FALSE,0,0,3.5,6.4,0,0,0,0,0
